Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
111,323.17334945709496,75.37431481045994,74.58236820769311,44.413972084742,2.272312171788156
112,322.3513116197405,74.18370436639101,71.79690118539006,44.325719992017,2.2750515636013624
113,321.69813922897083,73.18203910324075,69.00352118135554,44.23591310254771,2.2777495167089965
114,321.2128121517376,72.35481106793934,66.23889280560282,44.14472495378784,2.280414554335429
115,320.89249331640247,71.68860165287683,63.53501891281167,44.05235944021361,2.283053405490818
116,320.73291826418637,71.16949897441702,60.923606412514665,43.95906599566182,2.2856723986204686
117,320.7284687336629,70.78347046552115,58.43481867561458,43.86513566701875,2.2882773899553244
118,320.8722014579127,70.51664783815944,56.096127372904505,43.77089546668021,2.290873733665576
119,321.15599086466386,70.35552282157335,53.931769176522565,43.67670127000445,2.2934662949848628
120,321.57067580226226,70.28711068128979,51.962426478086414,43.58292910209209,2.296059463673119
121,322.10620963131436,70.29908392083394,50.20514607503034,43.48996522643391,2.298657167488657
122,322.7518072332731,70.37987784505539,48.67346936189959,43.398195523068175,2.3012628854745025
123,323.4960807144656,70.51876919502988,47.377722601477586,43.30799468500256,2.3038796612172368
124,324.3271587436638,70.70592900729,46.32540906200088,43.21971576617275,2.3065101164879307
125,325.23278717080916,70.93245106692756,45.52164302528221,43.13368058357256,2.309156465806628
126,326.20041123053227,71.19035773824498,44.969569501880976,43.05017141397189,2.311820532497188
127,327.21724207636424,71.47258546066892,44.670721565028174,42.96942433778334,2.3145037667351818
128,328.2703124417839,71.77295268431504,44.625277982910205,42.891624476754124,2.317207265959073
129,329.346527774089,72.08611340060416,44.83219608122262,42.816903256735706,2.319931797836761
130,330.4329039342585,72.42773944325153,45.28920772528628,42.745456761462215,2.3226794576876806
131,331.51635307199047,72.8040729057752,45.992679595953334,42.67736684557164,2.325452115591393
132,332.5833868434285,73.16997037581983,46.93735239449539,42.61235874833948,2.328247563766202
133,333.6201741823576,73.52460924634032,48.115365768643414,42.550366490066075,2.3310650315848536
134,334.615002007582,73.86854957866072,49.517474031831036,42.49129741283064,2.333903931665008
135,335.55589923021455,74.20171119017232,51.131298426396434,42.43501720649004,2.3367635198221337
136,336.43263513884534,74.52405441035255,52.94306341582916,42.38138140097737,2.3396430556253422
137,337.2329962608736,74.83556734510115,54.93194282698304,42.33018445120044,2.3425415313099798
138,337.9477260733442,75.13628781530137,57.075909928941904,42.281229893049435,2.3454580176738005
139,338.5687120845465,75.42628668276728,59.34953000915174,42.23431192325342,2.3483915522248493
140,339.0814741995972,75.7056634447396,62.088109008636245,42.192008348619986,2.3513489297193364
141,339.455753812194,75.97500919635421,65.47247453535782,42.15572168831586,2.3543333000765205
142,339.6654330193331,76.23381733098542,68.78001166146669,42.12017588688399,2.357330393135186
143,339.7190862524241,76.4824168210662,71.89936485149278,42.08471694064449,2.3603379519368395
144,339.638892612567,76.72182765432267,74.8269383441386,42.04933560263001,2.3633548312733055
145,339.43092751210713,76.95193458314637,77.54486206356378,42.01403237404613,2.3663810397381537
146,339.10763207664263,77.17297405266578,80.04765347439374,41.978804793688774,2.3694162097750597
